"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2026","27,303.67","27,082.42","27,314.21","26,986.39","431.02M","1.95%"
"04/23/2026","26,782.63","26,844.61","27,007.87","26,540.32","371.63M","-0.57%"
"04/22/2026","26,937.28","26,715.92","26,942.13","26,662.88","335.96M","1.73%"
"04/21/2026","26,479.47","26,658.85","26,730.64","26,405.30","291.31M","-0.42%"
"04/20/2026","26,590.34","26,662.32","26,670.12","26,412.52","311.92M","-0.31%"
"04/17/2026","26,672.43","26,551.16","26,719.56","26,481.24","453.20M","1.29%"
"04/16/2026","26,333.00","26,256.88","26,400.52","26,113.65","344.98M","0.49%"
"04/15/2026","26,204.58","25,859.19","26,214.57","25,828.76","357.61M","1.40%"
"04/14/2026","25,842.00","25,514.55","25,842.00","25,514.55","353.98M","1.81%"
"04/13/2026","25,383.72","25,069.07","25,387.69","24,999.20","325.72M","1.06%"
"04/10/2026","25,116.34","25,165.06","25,226.06","25,057.65","337.40M","0.14%"
"04/09/2026","25,082.09","24,918.28","25,097.45","24,788.92","341.37M","0.72%"
"04/08/2026","24,903.17","25,045.36","25,045.36","24,756.93","421.52M","2.90%"
"04/07/2026","24,202.37","24,109.57","24,209.28","23,779.85","303.86M","0.04%"
"04/06/2026","24,192.17","24,143.02","24,265.14","24,039.03","269.53M","0.61%"
"04/02/2026","24,045.53","23,621.73","24,076.35","23,512.60","306.54M","0.11%"
"04/01/2026","24,019.99","23,883.29","24,162.68","23,871.61","377.99M","1.18%"
"03/31/2026","23,740.19","23,208.00","23,789.60","23,198.64","527.64M","3.43%"
"03/30/2026","22,953.38","23,307.75","23,356.75","22,841.42","405.40M","-0.78%"
"03/27/2026","23,132.77","23,463.74","23,472.89","23,088.99","381.01M","-1.93%"
"03/26/2026","23,586.99","23,913.19","24,029.51","23,574.72","419.09M","-2.38%"
"03/25/2026","24,162.98","24,236.40","24,314.25","24,081.38","344.57M","0.67%"
"03/24/2026","24,002.45","24,042.23","24,170.83","23,927.69","331.71M","-0.77%"
"03/23/2026","24,188.59","24,270.77","24,465.16","24,097.68","398.75M","1.22%"
"03/20/2026","23,898.15","24,257.56","24,267.34","23,759.97","1.09B","-1.88%"
"03/19/2026","24,355.28","24,119.37","24,462.15","24,100.88","357.73M","-0.29%"
"03/18/2026","24,425.09","24,727.07","24,763.58","24,417.38","351.28M","-1.43%"
"03/17/2026","24,780.42","24,760.27","24,884.68","24,721.56","314.36M","0.51%"
"03/16/2026","24,655.34","24,646.18","24,794.29","24,606.46","349.16M","1.13%"
"03/13/2026","24,380.73","24,660.19","24,786.65","24,336.53","320.21M","-0.62%"
"03/12/2026","24,533.58","24,771.32","24,809.27","24,522.24","359.12M","-1.73%"
"03/11/2026","24,965.01","25,053.24","25,152.12","24,856.60","310.24M","0.03%"
"03/10/2026","24,956.47","25,002.61","25,189.17","24,871.44","328.67M","-0.04%"
"03/09/2026","24,967.25","24,429.67","25,019.16","24,289.22","414.42M","1.32%"
"03/06/2026","24,643.02","24,663.74","24,886.70","24,579.86","399.21M","-1.51%"
"03/05/2026","25,020.41","24,992.73","25,174.31","24,744.56","423.65M","-0.29%"
"03/04/2026","25,093.68","24,850.94","25,179.36","24,795.53","390.99M","1.51%"
"03/03/2026","24,720.08","24,497.38","24,810.25","24,315.84","396.49M","-1.09%"
"03/02/2026","24,992.60","24,599.41","25,059.17","24,575.54","379.88M","0.13%"
"02/27/2026","24,960.04","24,808.00","24,987.96","24,747.25","613.16M","-0.30%"
"02/26/2026","25,034.37","25,278.25","25,288.23","24,820.55","419.45M","-1.16%"
"02/25/2026","25,329.04","25,137.72","25,343.97","25,137.62","404.38M","1.41%"
"02/24/2026","24,977.04","24,763.84","25,022.92","24,643.69","391.12M","1.09%"
"02/23/2026","24,708.94","24,935.52","24,984.82","24,618.23","373.53M","-1.21%"
"02/20/2026","25,012.62","24,637.32","25,077.56","24,633.60","412.09M","0.87%"
"02/19/2026","24,797.34","24,771.65","24,890.12","24,690.87","296.20M","-0.41%"
"02/18/2026","24,898.87","24,744.88","25,057.21","24,696.83","359.97M","0.80%"
"02/17/2026","24,701.60","24,567.54","24,818.30","24,387.47","371.31M","-0.13%"
"02/13/2026","24,732.73","24,662.95","24,921.47","24,514.96","379.43M","0.18%"
"02/12/2026","24,687.61","25,261.33","25,310.56","24,643.73","536.26M","-2.04%"
"02/11/2026","25,201.26","25,335.91","25,382.84","24,980.29","428.64M","0.29%"
"02/10/2026","25,127.64","25,314.23","25,363.12","25,113.43","422.83M","-0.56%"
"02/09/2026","25,268.14","24,953.68","25,337.54","24,876.28","429.91M","0.77%"
"02/06/2026","25,075.77","24,655.25","25,131.34","24,622.33","507.70M","2.15%"
"02/05/2026","24,548.69","24,614.86","24,854.56","24,455.40","540.64M","-1.38%"
"02/04/2026","24,891.24","25,240.38","25,275.26","24,681.27","597.96M","-1.77%"
"02/03/2026","25,338.62","25,811.05","25,840.04","25,112.46","521.57M","-1.55%"
