"Date","ETF_Idx","Sim_Gross","Sim_Adj"
"2006-06-22","97.6408","97.58","97.5608"
"2006-06-23","97.3561","97.1506","97.1127"
"2006-06-26","97.712","97.7918","97.7349"
"2006-06-27","94.0614","94.1344","94.0608"
"2006-06-28","95.2105","95.5276","95.4347"
"2006-06-29","100.966","101.4121","101.295"
"2006-06-30","100","100.0938","99.9585"
"2006-07-03","101.1592","101.4951","101.3385"
"2006-07-05","97.1731","97.3541","97.1841"
"2006-07-06","96.6036","97.062","96.8736"
"2006-07-07","94.4885","94.8296","94.6266"
"2006-07-10","92.9225","93.2364","93.0184"
"2006-07-11","94.4478","94.7282","94.4884"
"2006-07-12","90.7057","90.8254","90.577"
"2006-07-13","87.8178","88.0098","87.7514"
"2006-07-14","86.0179","86.1088","85.8387"
"2006-07-17","86.4348","86.8494","86.56"
"2006-07-18","86.9229","87.301","86.9931"
"2006-07-19","88.8041","89.466","89.1334"
"2006-07-20","86.3738","86.621","86.2814"
"2006-07-21","84.4316","84.854","84.5042"
"2006-07-24","87.5432","88.4178","88.0367"
"2006-07-25","88.3974","89.2666","88.8644"
"2006-07-26","88.5804","89.0702","88.6513"
"2006-07-27","87.6754","87.948","87.5167"
"2006-07-28","91.1836","91.7297","91.2626"
"2006-07-31","91.0006","91.6196","91.1349"
"2006-08-01","87.889","88.6512","88.164"
"2006-08-02","89.5058","90.5128","89.9979"
"2006-08-03","91.0006","91.7257","91.1858"
"2006-08-04","90.1668","90.9002","90.3469"
"2006-08-07","89.0787","89.7185","89.1544"
"2006-08-08","87.9601","88.606","88.031"
"2006-08-09","87.9195","88.7123","88.119"
"2006-08-10","89.038","89.9898","89.3702"
"2006-08-11","88.1635","88.8379","88.2083"
"2006-08-14","88.9668","89.744","89.0902"
"2006-08-15","93.6038","94.5543","93.8474"
"2006-08-16","98.0578","98.9416","98.183"
"2006-08-17","98.6781","99.377","98.5951"
"2006-08-18","98.5459","99.7347","98.9302"
"2006-08-21","96.746","97.7999","96.9908"
"2006-08-22","96.99","98.0933","97.2621"
"2006-08-23","95.363","96.4649","95.6278"
"2006-08-24","96.0952","97.063","96.2013"
"2006-08-25","96.4714","97.3736","96.4896"
"2006-08-28","97.8544","98.9511","98.0331"
"2006-08-29","98.4747","99.3667","98.4248"
"2006-08-30","99.3492","100.42","99.448"
"2006-08-31","99.2373","100.1388","99.1493"
"2006-09-01","100.1322","101.3805","100.3584"
"2006-09-05","101.9321","103.1851","102.1242"
"2006-09-06","97.9662","99.1402","98.1"
"2006-09-07","97.0917","98.2083","97.1577"
"2006-09-08","98.0578","99.4457","98.3618"
"2006-09-11","99.3797","100.5993","99.4826"
"2006-09-12","103.2337","104.6635","103.4811"
"2006-09-13","104.4234","105.7311","104.5152"
"2006-09-14","104.3116","105.9848","104.7444"
"2006-09-15","105.3285","106.8327","105.5606"
"2006-09-18","105.2471","106.79","105.4964"
"2006-09-19","103.9658","105.3376","104.0398"
"2006-09-20","107.0571","108.4978","107.1393"
"2006-09-21","105.6742","107.109","105.7456"
"2006-09-22","103.8438","105.4809","104.1163"
"2006-09-25","107.6774","109.1306","107.697"
"2006-09-26","108.5621","110.3092","108.8376"
"2006-09-27","108.013","109.8459","108.3577"
"2006-09-28","108.6435","110.6368","109.1153"
"2006-09-29","107.8198","109.641","108.1104"
"2006-10-02","105.1861","106.8123","105.2985"
"2006-10-03","105.9386","107.795","106.2451"
"2006-10-04","110.7891","113.1632","111.5138"
"2006-10-05","112.2432","114.2722","112.5832"
