"Date","ETF_Idx","Sim_Gross","Sim_Adj"
"2010-02-12","100.3882","100.57","100.5653"
"2010-02-16","104.2698","104.4621","104.4525"
"2010-02-17","106.065","105.9977","105.983"
"2010-02-18","108.0543","108.1918","108.1719"
"2010-02-19","108.0543","108.1918","108.1668"
"2010-02-22","107.278","107.1856","107.1557"
"2010-02-23","103.1053","102.9732","102.9395"
"2010-02-24","106.2106","106.186","106.1464"
"2010-02-25","106.1621","106.2497","106.2051"
"2010-02-26","107.4721","107.2697","107.2196"
"2010-03-01","112.0815","112.1612","112.1038"
"2010-03-02","112.7608","113.0361","112.9729"
"2010-03-03","113.3916","113.1039","113.0354"
"2010-03-04","114.6531","114.5968","114.5222"
"2010-03-05","119.6992","119.9256","119.8421"
"2010-03-08","120.3785","120.3573","120.2679"
"2010-03-09","122.5133","122.3432","122.2466"
"2010-03-10","125.4731","125.4263","125.3215"
"2010-03-11","126.6376","126.7056","126.5939"
"2010-03-12","126.9287","126.8197","126.7019"
"2010-03-15","126.0553","125.9446","125.8217"
"2010-03-16","128.4813","128.325","128.1938"
"2010-03-17","129.3547","129.1334","128.9954"
"2010-03-18","130.6647","130.683","130.5373"
"2010-03-19","128.3358","128.3699","128.2206"
"2010-03-22","131.8292","131.7974","131.6381"
"2010-03-23","134.5949","134.5651","134.3963"
"2010-03-24","132.6541","132.2237","132.0515"
"2010-03-25","131.8292","131.6684","131.4907"
"2010-03-26","132.5085","132.3794","132.1946"
"2010-03-29","134.3523","134.1268","133.9333"
"2010-03-30","135.7593","135.4949","135.2931"
"2010-03-31","133.9156","133.5031","133.298"
"2010-04-01","133.673","133.7434","133.5316"
"2010-04-05","137.5061","137.4748","137.2509"
"2010-04-06","138.5735","138.3409","138.1091"
"2010-04-07","137.7972","137.3864","137.1497"
"2010-04-08","138.2824","138.0871","137.8427"
"2010-04-09","140.7569","140.9455","140.6896"
"2010-04-12","141.3392","141.1992","140.9362"
"2010-04-13","143.474","142.9359","142.6631"
"2010-04-14","148.5201","148.296","148.0062"
"2010-04-15","150.5095","150.4315","150.1306"
"2010-04-16","145.1237","144.7","144.4035"
"2010-04-19","144.9296","144.8303","144.5267"
"2010-04-20","147.0645","147.0027","146.6878"
"2010-04-21","149.6361","149.3842","149.0573"
"2010-04-22","151.868","151.7146","151.3756"
"2010-04-23","153.8574","153.9903","153.6391"
"2010-04-26","152.7414","152.6044","152.2491"
"2010-04-27","143.3285","143.0361","142.6959"
"2010-04-28","143.6196","143.3364","142.9889"
"2010-04-29","150.9947","150.9046","150.532"
"2010-04-30","142.067","141.5334","141.1769"
"2010-05-03","147.8894","148.1147","147.735"
"2010-05-04","134.7889","134.4289","134.0773"
"2010-05-05","132.6055","132.2512","131.899"
"2010-05-06","119.6021","119.198","118.8743"
"2010-05-07","110.917","110.8303","110.5238"
"2010-05-10","127.4139","127.5878","127.2298"
"2010-05-11","127.3654","127.1668","126.8039"
"2010-05-12","134.2067","134.0719","133.6834"
"2010-05-13","128.1417","127.9583","127.5812"
"2010-05-14","120.2814","120.3959","120.0351"
"2010-05-17","121.8826","121.9852","121.6139"
"2010-05-18","117.2246","116.569","116.2086"
"2010-05-19","114.1194","114.0511","113.693"
"2010-05-20","102.5716","100.6729","100.3515"
"2010-05-21","103.3964","104.4784","104.14"
"2010-05-24","104.2213","103.1933","102.8542"
"2010-05-25","103.4934","103.2552","102.9111"
"2010-05-26","100.2911","99.9717","99.6337"
"2010-05-27","111.1596","111.0385","110.6585"
"2010-05-28","109.607","109.2064","108.8274"
"2010-06-01","106.5987","106.1268","105.7535"
"2010-06-02","114.0708","113.8634","113.458"
"2010-06-03","117.0306","116.767","116.346"
"2010-06-04","105.4828","104.9968","104.613"
"2010-06-07","99.3692","99.1695","98.8021"
"2010-06-08","98.787","98.753","98.3826"
"2010-06-09","96.6521","95.9978","95.6332"
"2010-06-10","104.6579","104.292","103.8915"
"2010-06-11","107.3751","107.2018","106.7853"
"2010-06-14","107.4236","106.9123","106.4921"
"2010-06-15","115.2838","115.9571","115.4964"
"2010-06-16","117.6128","117.3834","116.9117"
"2010-06-17","118.7773","118.3694","117.8884"
"2010-06-18","119.1169","118.902","118.4135"
"2010-06-21","116.0116","115.6204","115.1398"
"2010-06-22","113.246","112.8108","112.3366"
"2010-06-23","111.7419","111.6939","111.2193"
"2010-06-24","106.3076","106.3661","105.909"
"2010-06-25","106.2591","105.3131","104.8557"
"2010-06-28","105.2887","104.8708","104.4104"
"2010-06-29","93.5468","92.538","92.127"
"2010-06-30","88.9374","88.6236","88.2258"
"2010-07-01","88.064","87.9058","87.5071"
"2010-07-02","87.5788","86.9828","86.5842"
"2010-07-06","88.0155","87.9483","87.5413"
"2010-07-07","96.361","96.3122","95.8625"
"2010-07-08","97.9622","97.6991","97.2385"
"2010-07-09","100.7278","100.3956","99.9178"
"2010-07-12","101.8438","101.4196","100.9324"
"2010-07-13","105.3372","105.4358","104.9246"
"2010-07-14","107.0354","106.8592","106.3363"
"2010-07-15","107.3751","107.3401","106.8099"
"2010-07-16","98.7385","98.1947","97.7048"
"2010-07-19","100.9704","100.787","100.2797"
"2010-07-20","104.1727","104.3549","103.825"
"2010-07-21","100.5337","100.379","99.8645"
"2010-07-22","107.278","107.9676","107.4097"
"2010-07-23","110.0922","110.1054","109.5314"
"2010-07-26","112.5182","112.7479","112.1551"
"2010-07-27","112.4697","112.4773","111.8808"
"2010-07-28","110.1892","109.5754","108.9891"
"2010-07-29","107.5691","107.4058","106.8261"
"2010-07-30","108.2969","108.0502","107.4622"
"2010-08-02","114.1194","114.1443","113.5181"
"2010-08-03","112.9549","112.843","112.2188"
"2010-08-04","116.2057","115.9575","115.3109"
"2010-08-05","115.5264","115.1922","114.5445"
"2010-08-06","114.9927","114.812","114.1612"
"2010-08-09","116.982","117.0509","116.3821"
"2010-08-10","114.5075","114.1363","113.4789"
"2010-08-11","105.0946","104.4119","103.8052"
"2010-08-12","102.1349","102.1566","101.5583"
"2010-08-13","100.097","99.9194","99.3295"
"2010-08-16","100.6308","100.369","99.7719"
"2010-08-17","104.4639","104.3135","103.6883"
"2010-08-18","105.4343","105.221","104.5857"
"2010-08-19","101.5526","100.4861","99.8745"
"2010-08-20","101.213","100.9383","100.3193"
"2010-08-23","98.3988","98.0313","97.4255"
"2010-08-24","92.7705","92.6493","92.0724"
"2010-08-25","95.5361","95.0953","94.4988"
"2010-08-26","92.4309","91.6148","91.0358"
"2010-08-27","95.4876","95.1328","94.5274"
"2010-08-30","92.3823","92.022","91.432"
"2010-08-31","91.9457","91.3042","90.7147"
"2010-09-01","99.6118","99.4668","98.8204"
"2010-09-02","103.0568","102.8387","102.1658"
"2010-09-03","108.2969","107.8367","107.1264"
"2010-09-07","105.6769","105.4427","104.7433"
"2010-09-08","109.4129","109.4601","108.7292"
"2010-09-09","110.7715","110.5437","109.8006"
"2010-09-10","111.9845","111.6381","110.8826"
"2010-09-13","116.885","116.8293","116.0335"
"2010-09-14","118.3891","118.091","117.2813"
"2010-09-15","120.3785","120.1104","119.2814"
"2010-09-16","122.0767","121.6958","120.8505"
"2010-09-17","123.3867","123.1562","122.2951"
"2010-09-20","129.8399","129.511","128.5999"
"2010-09-21","129.4032","129.4333","128.5168"
"2010-09-22","128.821","128.1908","127.2772"
"2010-09-23","128.4328","128.0754","127.1568"
"2010-09-24","135.6623","136.1442","135.1618"
"2010-09-27","134.1097","133.571","132.601"
"2010-09-28","134.4493","133.8515","132.8734"
"2010-09-29","133.3819","133.1689","132.1896"
"2010-09-30","131.5866","130.9716","130.0024"
"2010-10-01","131.1499","130.6966","129.7234"
"2010-10-04","126.6376","126.5012","125.5533"
"2010-10-05","136.0505","135.9888","134.9641"
"2010-10-06","132.557","132.3579","131.3543"
"2010-10-07","133.8671","133.3506","132.3334"
"2010-10-08","136.5842","136.431","135.3842"
"2010-10-11","136.8753","136.431","135.378"
"2010-10-12","139.6895","139.3779","138.2959"
"2010-10-13","143.0859","142.5975","141.4842"
"2010-10-14","142.3096","142.0414","140.9259"
"2010-10-15","151.3828","150.99","149.7978"
"2010-10-18","151.3828","152.3942","151.184"
"2010-10-19","145.3663","144.8964","143.7388"
"2010-10-20","148.3746","148.2435","147.0525"
"2010-10-21","149.3935","149.1774","147.9722"
"2010-10-22","152.3047","152.2207","150.984"
"2010-10-25","154.6337","154.23","152.9701"
"2010-10-26","155.5556","155.433","154.1562"
"2010-10-27","157.1567","156.9251","155.629"
"2010-10-28","158.0786","157.7725","156.4623"
"2010-10-29","157.3023","156.5892","155.2816"
"2010-11-01","157.6419","157.4818","156.1596"
"2010-11-02","162.4454","162.6314","161.2588"
"2010-11-03","164.7744","164.1439","162.7511"
"2010-11-04","170.6453","170.841","169.3838"
"2010-11-05","170.8394","170.5847","169.122"
"2010-11-08","171.2761","171.0965","169.6216"
"2010-11-09","168.5104","168.2734","166.815"
"2010-11-10","171.082","170.7975","169.3096"
"2010-11-11","168.2193","167.3645","165.8986"
"2010-11-12","159.6312","159.2305","157.8283"
"2010-11-15","157.933","157.7975","156.4006"
"2010-11-16","150.0728","149.3711","148.0416"
"2010-11-17","151.5284","150.7154","149.3672"
"2010-11-18","158.5638","158.2211","156.7988"
"2010-11-19","158.952","158.316","156.8857"
