Date,NDX_Close,NDX_DailyReturn,RF_Annual_Pct,RF_Daily_Pct,NDX2L_DailyReturn,NDX3L_DailyReturn,NDX2L_Adj_DailyReturn,NDX3L_Adj_DailyReturn,NDX_Indexed,NDX2L,NDX3L,NDX2L_adj,NDX3L_adj
1999/4/1,2146.13,1.89,4.7451,0.01883,3.78,5.67,3.7574,5.6288,1924.754062,18367.39383,84589.79053,7615.965573,16692.08233
1999/4/5,2219.64,3.43,4.7436,0.018824,6.86,10.29,6.8374,10.2489,1990.773126,19627.39705,93294.07997,8136.700098,18402.83059
1999/4/6,2218.83,-0.04,4.7432,0.018822,-0.08,-0.12,-0.1026,-0.1611,1989.976817,19611.69513,93182.12708,8128.352496,18373.17694
1999/4/7,2192.29,-1.2,4.7428,0.018821,-2.4,-3.6,-2.4226,-3.6411,1966.097095,19141.01445,89827.5705,7931.435805,17704.18508
1999/4/8,2224.75,1.48,4.7424,0.018819,2.96,4.44,2.9374,4.3989,1995.195332,19707.58847,93815.91463,8164.414678,18482.96912
1999/4/9,2232.47,0.35,4.742,0.018818,0.7,1.05,0.6774,1.0089,2002.178516,19845.54159,94800.98174,8219.721451,18669.43877
1999/4/12,2219.21,-0.59,4.7409,0.018813,-1.18,-1.77,-1.2026,-1.8111,1990.365663,19611.3642,93123.00436,8120.872491,18331.31319
1999/4/13,2175.18,-1.98,4.7405,0.018811,-3.96,-5.94,-3.9826,-5.9811,1950.956422,18834.75418,87591.4979,7797.45214,17234.89626
1999/4/14,2103.63,-3.29,4.7401,0.01881,-6.58,-9.87,-6.6026,-9.9111,1886.769956,17595.42735,78946.21706,7282.61914,15526.72639
1999/4/15,2135.81,1.53,4.7397,0.018808,3.06,4.59,3.0374,4.5489,1915.637536,18133.84743,82569.84842,7503.822995,16233.02026
1999/4/16,2086.46,-2.31,4.7393,0.018807,-4.62,-6.93,-4.6426,-6.9711,1871.386309,17296.06368,76847.75793,7155.452253,15101.39923
1999/4/19,1967.58,-5.7,4.7382,0.018802,-11.4,-17.1,-11.4226,-17.1411,1764.71729,15324.31242,63706.79132,6338.115554,12512.85378
